Artists,Name,Weekly rank,Peak position,Weeks on chart,Week
Juice WRLD,Lucid Dreams,8,3,11,2018-08-04
"Post Malone, Ty Dolla $ign",Psycho,9,1,22,2018-08-04
"Tyga, Offset",Taste,10,10,9,2018-08-04
Ariana Grande,No Tears Left To Cry,11,3,14,2018-08-04
Taylor Swift,Delicate,12,12,20,2018-08-04
Drake,God's Plan,13,1,27,2018-08-04
"Lil Baby, Drake",Yes Indeed,14,6,11,2018-08-04
"Zedd, Maren Morris, Grey",The Middle,15,5,26,2018-08-04
"Marshmello, Anne",Friends,16,11,24,2018-08-04
Ed Sheeran,Perfect,17,1,48,2018-08-04
"Khalid, Normani",Love Lies,18,18,23,2018-08-04
XXXTENTACION,Sad!,19,1,21,2018-08-04
"Bebe Rexha, Florida Georgia Line",Meant To Be,20,2,40,2018-08-04
Ariana Grande,God Is A Woman,21,11,2,2018-08-04
Bazzi,Mine,22,11,27,2018-08-04
Shawn Mendes,In My Blood,23,11,19,2018-08-04
Dan + Shay,Tequila,24,21,20,2018-08-04
5 Seconds Of Summer,Youngblood,25,25,8,2018-08-04
Selena Gomez,Back To You,26,22,11,2018-08-04
"Calvin Harris, Dua Lipa",One Kiss,27,26,16,2018-08-04
"YG, 2 Chainz, Big Sean, Nicki Minaj",Big Bank,28,28,8,2018-08-04
Drake,Nonstop,29,2,4,2018-08-04
The Carters,Apes**t,30,13,6,2018-08-04
Lauv,I Like Me Better,31,29,24,2018-08-04
Camila Cabello,Never Be The Same,32,6,32,2018-08-04
Brett Young,Mercy,33,33,12,2018-08-04
Imagine Dragons,Whatever It Takes,34,12,26,2018-08-04
Kenny Chesney,Get Along,35,31,16,2018-08-04
Florida Georgia Line,Simple,36,36,8,2018-08-04
Imagine Dragons,Natural,37,,,2018-08-04
Drake,I'm Upset,38,7,9,2018-08-04
XXXTENTACION,Moonlight,39,13,15,2018-08-04
"BlocBoy JB, Drake",Look Alive,40,5,24,2018-08-04
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna, Bad Bunny",Te Bote,41,36,14,2018-08-04
"Jason Aldean, Miranda Lambert",Drowns The Whiskey,42,42,6,2018-08-04
Jake Owen,I Was Jack,43,43,9,2018-08-04
Foster The People,Sit Next To Me,44,42,19,2018-08-04
Childish Gambino,This Is America,45,1,12,2018-08-04
Cardi B,Be Careful,46,11,17,2018-08-04
"Nicky Jam, J Balvin",X,47,41,21,2018-08-04
Luke Combs,One Number Away,48,34,19,2018-08-04
Thomas Rhett,Life Changes,49,49,5,2018-08-04
"Keith Urban, Julia Michaels",Coming Home,50,50,5,2018-08-04
XXXTENTACION,Changes,51,18,15,2018-08-04
"Benny Blanco, Halsey, Khalid",Eastside,52,52,2,2018-08-04
Drake,Mob Ties,53,13,4,2018-08-04
"Drake, Michael Jackson",Don't Matter To Me,54,9,4,2018-08-04
"Nicki Minaj, Ariana Grande",Bed,55,43,6,2018-08-04
Demi Lovato,Sober,56,56,2,2018-08-04
"Chris Lane, Tori Kelly",Take Back Home Girl,57,57,8,2018-08-04
Juice WRLD,All Girls Are The Same,58,41,11,2018-08-04
Luke Bryan,"Sunrise, Sunburn, Sunset",59,59,4,2018-08-04
Chance The Rapper,I Might Need Security,60,,,2018-08-04
"Clean Bandit, Demi Lovato",Solo,61,61,4,2018-08-04
"Tiesto, Dzeko, Preme, Post Malone",Jackie Chan,62,60,3,2018-08-04
Old Dominion,Hotel Key,63,63,4,2018-08-04
Bebe Rexha,I'm A Mess,64,64,2,2018-08-04
Queen Naija,Medicine,65,45,8,2018-08-04
Alessia Cara,Growing Pains,66,65,4,2018-08-04
"Juice WRLD, Lil Uzi Vert",Wasted,67,67,2,2018-08-04
Backstreet Boys,Don't Go Breaking My Heart,68,63,5,2018-08-04
Childish Gambino,Summertime Magic,69,44,2,2018-08-04
"Morgan Wallen, Florida Georgia Line",Up Down,70,49,18,2018-08-04
Morgan Evans,Kiss Somebody,71,71,4,2018-08-04
Becky G + Natti Natasha,Sin Pijama,72,72,7,2018-08-04
"Lil Dicky, Chris Brown",Freaky Friday,73,8,19,2018-08-04
Lauren Daigle,You Say,74,53,2,2018-08-04
lovelytheband,Broken,75,75,2,2018-08-04
Dylan Scott,Hooked,76,76,2,2018-08-04
Ciara,Level Up,77,,,2018-08-04
"TK Kravitz, Jacqueez",Ocean,78,78,2,2018-08-04
"Kygo, Miguel",Remind Me To Forget,79,79,2,2018-08-04
"Khalid, Ty Dolla $ign, 6LACK",OTW,80,57,13,2018-08-04
"Daniel Caesar, H.E.R.",Best Part,81,,,2018-08-04
G,1942,82,82,2,2018-08-04
"Post Malone, Nicki Minaj",Ball For Me,83,16,13,2018-08-04
Carrie Underwood,Cry Pretty,84,48,7,2018-08-04
"Martin Garrix, Khalid",Ocean,85,78,4,2018-08-04
Weezer,Africa,86,86,2,2018-08-04
Cole Swindell,Break Up In The End,87,87,3,2018-08-04
twenty one pilots,Jumpsuit,88,50,3,2018-08-04
The Weeknd,Call Out My Name,89,4,17,2018-08-04
Dennis Lloyd,Nevermind,90,,,2018-08-04
Kanye West,All Mine,91,11,8,2018-08-04
Migos,Narcos,92,36,11,2018-08-04
Billie Eilish,You Should See Me In A Crown,93,,,2018-08-04
Eric Church,Desperate Man,94,71,2,2018-08-04
"Wiz Khalifa, Swae Lee",Hopeless Romantic,95,72,2,2018-08-04
"A$AP Rocky, Skepta",Praise The Lord,96,45,7,2018-08-04
NF,Lie,97,,,2018-08-04
Kane Brown,Lose It,98,84,2,2018-08-04
Drake,Emotionless,99,8,4,2018-08-04
Drake,Can't Take A Joke,100,18,4,2018-08-04
Drake,In My Feelings,1,1,3,2018-07-28
"Maroon 5, Cardi B",Girls Like You,3,3,8,2018-07-28
Drake,Nice For What,4,1,15,2018-07-28
Ella Mai,Boo'd Up,5,5,16,2018-07-28
Juice WRLD,Lucid Dreams,6,3,10,2018-07-28
Post Malone,Better Now,7,7,12,2018-07-28
Ariana Grande,No Tears Left To Cry,8,3,13,2018-07-28
"Post Malone, Ty Dolla $ign",Psycho,9,1,21,2018-07-28
Drake,God's Plan,10,1,26,2018-07-28
Ariana Grande,God Is A Woman,11,,,2018-07-28
Taylor Swift,Delicate,12,12,19,2018-07-28
"Tyga, Offset",Taste,13,13,8,2018-07-28
"Zedd, Maren Morris, Grey",The Middle,14,5,25,2018-07-28
XXXTENTACION,Sad!,15,1,20,2018-07-28
"Lil Baby, Drake",Yes Indeed,16,6,10,2018-07-28
"Bebe Rexha, Florida Georgia Line",Meant To Be,17,2,39,2018-07-28
"Marshmello, Anne",Friends,18,11,23,2018-07-28
Ed Sheeran,Perfect,19,1,47,2018-07-28
Drake,Nonstop,20,2,3,2018-07-28
"Khalid, Normani",Love Lies,21,21,22,2018-07-28
Bazzi,Mine,22,11,26,2018-07-28
Shawn Mendes,In My Blood,23,11,18,2018-07-28
Drake,I'm Upset,24,7,8,2018-07-28
Dan + Shay,Tequila,25,21,19,2018-07-28
"Calvin Harris, Dua Lipa",One Kiss,26,26,15,2018-07-28
Selena Gomez,Back To You,27,22,10,2018-07-28
The Carters,Apes**t,28,13,5,2018-07-28
Lauv,I Like Me Better,29,29,23,2018-07-28
Camila Cabello,Never Be The Same,30,6,31,2018-07-28
Kenny Chesney,Get Along,31,31,15,2018-07-28
5 Seconds Of Summer,Youngblood,32,32,7,2018-07-28
"Drake, Michael Jackson",Don't Matter To Me,33,9,3,2018-07-28
Imagine Dragons,Whatever It Takes,34,12,25,2018-07-28
"BlocBoy JB, Drake",Look Alive,35,5,23,2018-07-28
Florida Georgia Line,Simple,36,36,7,2018-07-28
XXXTENTACION,Moonlight,37,13,14,2018-07-28
Brett Young,Mercy,38,38,11,2018-07-28
"YG, 2 Chainz, Big Sean, Nicki Minaj",Big Bank,39,39,7,2018-07-28
Childish Gambino,This Is America,40,1,11,2018-07-28
Cardi B,Be Careful,41,11,16,2018-07-28
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna, Bad Bunny",Te Bote,42,36,13,2018-07-28
Drake,Mob Ties,43,13,3,2018-07-28
Childish Gambino,Summertime Magic,44,,,2018-07-28
Jake Owen,I Was Jack,45,45,8,2018-07-28
Foster The People,Sit Next To Me,46,42,18,2018-07-28
"Nicky Jam, J Balvin",X,47,41,20,2018-07-28
"Jason Aldean, Miranda Lambert",Drowns The Whiskey,48,48,5,2018-07-28
Luke Combs,One Number Away,49,34,18,2018-07-28
twenty one pilots,Jumpsuit,50,50,2,2018-07-28
XXXTENTACION,Changes,51,18,14,2018-07-28
"Nicki Minaj, Ariana Grande",Bed,52,43,5,2018-07-28
Lauren Daigle,You Say,53,,,2018-07-28
Thomas Rhett,Life Changes,54,54,4,2018-07-28
Juice WRLD,All Girls Are The Same,55,41,10,2018-07-28
"Benny Blanco, Halsey, Khalid",Eastside,56,,,2018-07-28
"Chris Lane, Tori Kelly",Take Back Home Girl,57,57,7,2018-07-28
Drake,Emotionless,58,8,3,2018-07-28
"Morgan Wallen, Florida Georgia Line",Up Down,59,49,17,2018-07-28
"Tiesto, Dzeko, Preme, Post Malone",Jackie Chan,60,60,2,2018-07-28
Drake,Can't Take A Joke,61,18,3,2018-07-28
"Keith Urban, Julia Michaels",Coming Home,62,62,4,2018-07-28
Backstreet Boys,Don't Go Breaking My Heart,63,63,4,2018-07-28
Luke Bryan,"Sunrise, Sunburn, Sunset",64,64,3,2018-07-28
Alessia Cara,Growing Pains,65,65,3,2018-07-28
"Clean Bandit, Demi Lovato",Solo,66,66,3,2018-07-28
Drake,Elevate,67,14,3,2018-07-28
"Juice WRLD, Lil Uzi Vert",Wasted,68,,,2018-07-28
"Lil Dicky, Chris Brown",Freaky Friday,69,8,18,2018-07-28
Old Dominion,Hotel Key,70,70,3,2018-07-28
Eric Church,Desperate Man,71,,,2018-07-28
"Wiz Khalifa, Swae Lee",Hopeless Romantic,72,,,2018-07-28
"Wiz Khalifa, Lil Skies",Fr Fr,73,,,2018-07-28
Morgan Evans,Kiss Somebody,74,74,3,2018-07-28
"Khalid, Ty Dolla $ign, 6LACK",OTW,75,57,12,2018-07-28
"Post Malone, Nicki Minaj",Ball For Me,76,16,12,2018-07-28
Kanye West,All Mine,77,11,7,2018-07-28
Queen Naija,Medicine,78,45,7,2018-07-28
twenty one pilots,Nico And The Niners,79,,,2018-07-28
Drake,Blue Tint,80,30,3,2018-07-28
Carrie Underwood,Cry Pretty,81,48,6,2018-07-28
"Drake, Static Major, Ty Dolla $ign",After Dark,82,41,3,2018-07-28
Becky G + Natti Natasha,Sin Pijama,83,83,6,2018-07-28
lovelytheband,Broken,84,,,2018-07-28
Dylan Scott,Hooked,85,,,2018-07-28
"Halsey, Big Sean, Stefflon Don",Alone,86,66,14,2018-07-28
"TK Kravitz, Jacqueez",Ocean,87,,,2018-07-28
